current_train_id,train_file_address,train_service_code,revised_train_id,train_id,event_timestamp
,0AU,95998090,65047FCP05,65640JCP05,1522934313000
,082,54606070,49684KCR05,49461GCR05,1522935864000
,PA7,54606070,42690KC605,42487FC605,1522936461000
,0N7,56609010,74063FCP05,74433HCP05,1522936834000
,07G,52160345,46437H1R05,46695I1R05,1522937628000
,0JY,56609010,74649LCT05,74417HCT05,1522944417000
,0I9,52406842,42000GCV05,42629KCV05,1522945020000
,0V1,56121720,73721YC805,73662LC805,1522946329000
,,57610212,51019GCZ05,51685LCZ05,1522961520000
,0S5,56120631,48482HCY05,48632LCY05,1522950122000
,0XU,95998090,56603MCY05,56699LCY05,1522950258000
,0S7,59120020,74724YCY05,74634LCY05,1522951009000
,0S8,59120020,82619MCY05,82714YCY05,1522952203000
,0UH,53790121,88032GCW05,88717YCW05,1522952260000
,0ZM,54606570,74035GCW05,74618MCW05,1522953000000
,,59120020,82630MC705,82727YC705,1522962720000
,0Y6,52495100,86650MCY05,86723YCY05,1522955409000
,0ZS,59120034,82657M1Z05,82726Y1Z05,1522956246000
,0SI,59430444,79044GC905,79637LC905,1522956387000
,0TV,51426930,24050G1805,24650L1805,1522957466000
,0ZK,52495100,86051GCZ05,86616MCZ05,1522957688000
,0TG,52160347,72413IC705,72645LC705,1522960267000
,177,56609010,74077GC905,74419IC905,1522968226000
,1B1,59120020,82083GC006,82735YC006,1522969954000
,1BW,54761000,096S501006,097S501006,1522971360000
,,22112002,42598CM905,42597CM905,1522972860000
,190,59120042,82696NC106,82733YC106,1522974998000
82083GC006,1B1,59120020,82005HC006,82735YC006,1522976160000
,1FZ,56120633,63468IC206,63623OC206,1522977601000
,1G3,51610410,89010HCC06,89470ICC06,1522977752000
,1G4,57610312,89011HCA06,89624OCA06,1522977769000
,1EU,56609010,51630OC206,51455IC206,1522978591000
,0RF,59430641,65024HC705,65628LC705,1522981200000
,1J3,52495100,88670OC406,88744YC406,1522982613000
,1HZ,56121720,52745YC406,52651OC406,1522983237000
,1IT,51425331,76027HC406,76665OC406,1522985219000
,,53790121,23064HC606,23669PC606,1522997640000
,0R7,51425230,79068HCZ05,79625LCZ05,1522997038000
,,53790121,89681P2C06,89815K2C06,1523001600000
,1UE,52495100,86081HCE06,86687PCE06,1522998777000
,1VF,56609010,74600QCF06,74443JCF06,1522999121000
,1VC,59120042,74672QCD06,74761YCD06,1523003349000
,1JR,53790120,82025ICG06,82681OCG06,1523005726000
,243,59120020,73619RCP06,73770YCP06,1523008308000
,202,51425330,76050ICH06,76674QCH06,1523010020000
74600QCF06,1VF,56609010,74443JCF06,74443JCF06,1523011120000
,1VF,56609010,74600QCF06,74443JCF06,1523011412000
,1SU,52160342,66648RCF06,66436JCF06,1523011555000
,1Z3,51425330,15064ICM06,15660QCM06,1523014438000
,23B,52160340,72491JCH06,72607RCH06,1523015346000
,1VZ,95998090,09077ICP06,09605QCP06,1523016240000
,2AR,53790120,86614SCP06,86777YCP06,1523021548000
,242,50520620,73407KCO06,73616RCO06,1523021686000
,2CZ,51426930,77003JCS06,77618SCS06,1523022069000
,2EA,56609010,74011JCP06,74421KCP06,1523024024000
,1Z6,57622770,39016JCF06,39662QCF06,1523025240000
,2CL,52160345,46423K1R06,46617S1R06,1523025494000
,,51610410,22024J1W06,22642S1W06,1523047080000
,2G0,56609010,86646SCV06,86425KCV06,1523026681000
,2IW,56121720,73788YC806,73673SC806,1523031094000
,2K7,56120621,47457KCT06,47691SCT06,1523034840000
,,24788005,87564DMY06,87563DMY06,1523039640000
,2PE,54761000,880L36CY06,886L36CY06,1523040073000
,2SD,52495100,86096JCY06,86794YCY06,1523041709000
,1WT,59430641,65007KCO06,65617QCO06,1523044843000
,2XH,56609010,74678UC906,74405LC906,1523053295000
,2YQ,56121720,52703ZC407,52638UC407,1523054944000
,2YM,59120020,82618VC007,82795YC007,1523058283000
,2VC,57622770,79063KC007,79604UC007,1523058600000
,330,54761000,460O35C107,466O35C107,1523058899000
79063KC007,2VC,57622770,79604UC007,79604UC007,1523063400000
,30M,56120633,63490LC207,63680UC207,1523063586000
,2PR,57622770,39091KCZ06,39637TCZ06,1523067480000
,2Y8,51426930,76099KC407,76629UC407,1523070138000
,36Q,51610410,89407MCE07,89655VCE07,1523071062000
,37V,59418041,80027LC507,80664VC507,1523084136000
,,59360541,76035L1I07,76640W1I07,1523099100000
,,52190590,10036LCD07,10641WCD07,1523090940000
,36B,59430641,65040LCE07,65651VCE07,1523088586000
,2V6,51426930,76048LC906,76698TC906,1523089941000
,3EZ,59120020,73052L1M07,73621W1M07,1523091406000
,,57610314,72065LCN07,72683WCN07,1523107920000
,3KP,59120020,75066L1G07,75714Z1G07,1523096760000
,3BN,57121020,86693WCL07,86710ZCL07,1523100266000
65040LCE07,36B,59430641,65651VCE07,65651VCE07,1523102220000
,3LW,54606070,36088LCM07,36462MCM07,1523104213000
,3RC,56230736,56628XCN07,56473MCN07,1523111958000
76035L1I07,3GB,59360541,76477M1I07,76640W1I07,1523116341000
,3P4,55460092,454D79CU07,456D79CU07,1523118540000
,3VS,56120631,48480MCY07,48607YCY07,1523123729000
,,12357820,32190IMZ07,32189IMZ07,1523131800000
,3X2,56120623,70482MCP07,70614YCP07,1523132286000
,3WK,51464780,230H06CZ07,236H06CZ07,1523134200000
,3X4,56120634,59483M1907,59616Y1907,1523141107000
,469,59430444,76080MCL08,76690ZCL08,1523188533000
