src_id,Name,Area,Area type,Station start date,Station end date,Latitude,Longitude,Postcode
159,FYVIE CASTLE ,ABERDEENSHIRE ,COUNTY ,01/01/1908,Current ,57.443,-2.38813,AB53 8 
949,GARTOCHARN: PORTNELLAN FARM ,DUNBARTONSHIRE ,COUNTY ,01/01/1992,Current ,56.0481,-4.56591,G83 8 
30127,GARVIE ISLAND ,SUTHERLAND ,COUNTY ,01/10/2000,Current ,58.6169,-4.86711,None 
725,GATWICK ,WEST SUSSEX ,COUNTY ,01/01/1958,Current ,51.151,-0.19111,RH6 0 
56937,GIANTS CAUSEWAY ,ANTRIM ,COUNTY ,10/05/2011,Current ,55.2344,-6.51112,BT57 8 
1585,GIBRALTAR: NORTH FRONT ,GIBRALTAR ,COUNTRY ,01/01/1951,Current ,36.15,-5.35,None 
24125,GLASGOW: BISHOPTON ,RENFREWSHIRE ,COUNTY ,01/01/1998,Current ,55.9068,-4.53122,PA7 
1534,GLENANNE NO 2 ,ARMAGH ,COUNTY ,01/01/1985,Current ,54.2371,-6.50256,BT60 2 
17336,GLEN OGLE ,PERTHSHIRE (IN CENTRAL REGION) ,COUNTY ,01/08/1996,Current ,56.4235,-4.31873,FK20 8 
18921,GLOUCESTERSHIRE AIRPORT ,GLOUCESTERSHIRE ,COUNTY ,01/07/1983,Current ,51.8915,-2.16713,GL51 9 
1205,GOGERDDAN ,DYFED ,COUNTY ,01/01/1953,Current ,52.4319,-4.01929,SY23 3 
56962,GOSPORT: FLEETLANDS ,HAMPSHIRE ,COUNTY ,01/08/2011,Current ,50.8358,-1.16679,PO13 
742,GOUDHURST ,KENT ,COUNTY ,01/01/1934,Current ,51.0766,0.46117,TN17 2 
963,GRANGEMOUTH REFINERY ,STIRLING (IN CENTRAL REGION) ,COUNTY ,01/01/1969,Current ,56.0093,-3.68512,FK3 9 
16588,GRAVESEND: BROADNESS ,KENT ,COUNTY ,15/09/1995,30/08/2018,51.464,0.31301,DA11 
1085,GREAT DUN FELL NO 2 ,CUMBRIA ,COUNTY ,01/01/1993,Current ,54.6839,-2.44986,CA10 1 
19204,GRINGLEY-ON-THE-HILL ,NOTTINGHAMSHIRE ,COUNTY ,14/12/1996,Current ,53.4059,-0.88265,DN10 4 
